1;Debi  ;Scoala Gimnaziala “Horea” ;1
2;BarbatOtilia;Scoala Gimnaziala “Horea” ;1
3;DragulescuSonia;Scoala Gimnaziala “Horea” ;1
4;Debi  ;Scoala Gimnaziala “Horea” ;1
5;Deb  ;Scoala Gimnaziala “Horea” ;1
6;Deb  ;Scoala Gimnaziala “Horea” ;1
7;Dixie  ;Scoala Gimnaziala “Horea” ;1
8;Arturo ;Scoala Gimnaziala “Horea” ;1
9;Tatiana  ;Scoala Gimnaziala “Horea” ;1
10;Raymonde  ;Scoala Gimnaziala “Horea” ;1
11;Janis  ;Scoala Gimnaziala “Horea” ;1
12;MotocBeatrice;Scoala Gimnaziala “Horea” ;1
13;Dixie  ;Scoala Gimnaziala “Horea” ;1
14;Tomika;Scoala Gimnaziala “Horea” ;1
15;Maricruz  ;Scoala Gimnaziala “Horea” ;1
16;Nolan;Scoala Gimnaziala "Octavian Goga" ;2
17;DragulescuMara;Scoala Gimnaziala "Octavian Goga" ;2
18;Lorene  ;Scoala Gimnaziala "Octavian Goga" ;2
19;Lanell  ;Scoala Gimnaziala "Octavian Goga" ;2
20;Sebastian  ;Scoala Gimnaziala "Octavian Goga" ;2
21;BaboiuRazvan;Scoala Gimnaziala "Octavian Goga" ;2
22;DrelciucAndrei;Scoala Gimnaziala "Octavian Goga" ;2
23;Shon  ;Scoala Gimnaziala "Octavian Goga" ;2
24;Anthony  ;Scoala Gimnaziala "Octavian Goga" ;2
25;Lanell  ;Scoala Gimnaziala "Octavian Goga" ;2
26;Tomika;Scoala Gimnaziala "Octavian Goga" ;2
27;Taunya  ;Scoala Gimnaziala "Octavian Goga" ;2
28;BaboiuRazvan;Scoala Gimnaziala "Octavian Goga" ;2
29;Arturo ;Scoala Gimnaziala "Octavian Goga" ;2
30;Kenton  ;Scoala Gimnaziala "Octavian Goga" ;2
31;Opal  ;Liceul Teoretic "Lucian Blaga" ;3
32;Shon  ;Liceul Teoretic "Lucian Blaga" ;3
33;Claud  ;Liceul Teoretic "Lucian Blaga" ;3
34;Becky;Liceul Teoretic "Lucian Blaga" ;3
35;Gilma  ;Liceul Teoretic "Lucian Blaga" ;3
36;Danielle  ;Liceul Teoretic "Lucian Blaga" ;3
37;Nelda  ;Liceul Teoretic "Lucian Blaga" ;3
38;GaborVlad;Liceul Teoretic "Lucian Blaga" ;3
39;Becky;Liceul Teoretic "Lucian Blaga" ;3
40;NemesDiana;Liceul Teoretic "Lucian Blaga" ;3
41;Dominga  ;Liceul Teoretic "Lucian Blaga" ;3
42;Opal  ;Liceul Teoretic "Lucian Blaga" ;3
43;MihaliTeodora;Liceul Teoretic "Lucian Blaga" ;3
44;Isaias  ;Liceul Teoretic "Lucian Blaga" ;3
45;Imogene  ;Liceul Teoretic "Lucian Blaga" ;3
46;Charisse  ;Scoala Gimnaziala "Ioan Bob" ;4
47;Kenton  ;Scoala Gimnaziala "Ioan Bob" ;4
48;Tatiana  ;Scoala Gimnaziala "Ioan Bob" ;4
49;Ayako  ;Scoala Gimnaziala "Ioan Bob" ;4
50;Imogene  ;Scoala Gimnaziala "Ioan Bob" ;4
51;SuciuSorina;Scoala Gimnaziala "Ioan Bob" ;4
52;Maricruz  ;Scoala Gimnaziala "Ioan Bob" ;4
53;Opal  ;Scoala Gimnaziala "Ioan Bob" ;4
54;Becky;Scoala Gimnaziala "Ioan Bob" ;4
55;Gilma  ;Scoala Gimnaziala "Ioan Bob" ;4
56;Carey  ;Scoala Gimnaziala "Ioan Bob" ;4
57;Janis  ;Scoala Gimnaziala "Ioan Bob" ;4
58;Imogene  ;Scoala Gimnaziala "Ioan Bob" ;4
59;Anthony  ;Scoala Gimnaziala "Ioan Bob" ;4
60;Jennette  ;Scoala Gimnaziala "Ioan Bob" ;4
61;Nelda  ;Scoala Gimnaziala "Ion Creanga" ;5
62;Shon  ;Scoala Gimnaziala "Ion Creanga" ;5
63;Jon;Scoala Gimnaziala "Ion Creanga" ;5
64;Rosalina;Scoala Gimnaziala "Ion Creanga" ;5
65;Donetta  ;Scoala Gimnaziala "Ion Creanga" ;5
66;Jennette  ;Scoala Gimnaziala "Ion Creanga" ;5
67;Dixie  ;Scoala Gimnaziala "Ion Creanga" ;5
68;Raymonde  ;Scoala Gimnaziala "Ion Creanga" ;5
69;Taunya  ;Scoala Gimnaziala "Ion Creanga" ;5
70;Lorene  ;Scoala Gimnaziala "Ion Creanga" ;5
71;Rickey  ;Scoala Gimnaziala "Ion Creanga" ;5
72;Jon;Scoala Gimnaziala "Ion Creanga" ;5
73;Tatiana  ;Scoala Gimnaziala "Ion Creanga" ;5
74;Jolynn  ;Scoala Gimnaziala "Ion Creanga" ;5
75;Katherine  ;Scoala Gimnaziala "Ion Creanga" ;5
76;Twyla  ;Colegiul National Pedagogic "Gheorghe Lazar" ;6
77;MihaliTeodora;Colegiul National Pedagogic "Gheorghe Lazar" ;6
78;Opal  ;Colegiul National Pedagogic "Gheorghe Lazar" ;6
79;Almeda  ;Colegiul National Pedagogic "Gheorghe Lazar" ;6
80;Maranda  ;Colegiul National Pedagogic "Gheorghe Lazar" ;6
81;Raymonde  ;Colegiul National Pedagogic "Gheorghe Lazar" ;6
82;DrelciucAndrei;Colegiul National Pedagogic "Gheorghe Lazar" ;6
83;Lanell  ;Colegiul National Pedagogic "Gheorghe Lazar" ;6
84;DrelciucAndrei;Colegiul National Pedagogic "Gheorghe Lazar" ;6
85;Ping  ;Colegiul National Pedagogic "Gheorghe Lazar" ;6
86;Rosalina;Colegiul National Pedagogic "Gheorghe Lazar" ;6
87;Isaias  ;Colegiul National Pedagogic "Gheorghe Lazar" ;6
88;Eunice  ;Colegiul National Pedagogic "Gheorghe Lazar" ;6
89;Viola;Colegiul National Pedagogic "Gheorghe Lazar" ;6
90;Dixie  ;Colegiul National Pedagogic "Gheorghe Lazar" ;6
91;DrelciucAndrei;Scoala Gimnaziala Internationala SPECTRUM ;7
92;Isaias  ;Scoala Gimnaziala Internationala SPECTRUM ;7
93;Debi  ;Scoala Gimnaziala Internationala SPECTRUM ;7
94;Daria  ;Scoala Gimnaziala Internationala SPECTRUM ;7
95;Shon  ;Scoala Gimnaziala Internationala SPECTRUM ;7
96;MihaliTeodora;Scoala Gimnaziala Internationala SPECTRUM ;7
97;Opal  ;Scoala Gimnaziala Internationala SPECTRUM ;7
98;BatiuAndrada;Scoala Gimnaziala Internationala SPECTRUM ;7
99;MihaliTeodora;Scoala Gimnaziala Internationala SPECTRUM ;7
100;Claud  ;Scoala Gimnaziala Internationala SPECTRUM ;7
101;Becky;Scoala Gimnaziala Internationala SPECTRUM ;7
102;GaborVlad;Scoala Gimnaziala Internationala SPECTRUM ;7
103;Danielle  ;Scoala Gimnaziala Internationala SPECTRUM ;7
104;BosteanCristina;Scoala Gimnaziala Internationala SPECTRUM ;7
105;Ping  ;Scoala Gimnaziala Internationala SPECTRUM ;7
106;BosteanCristina;Colegiul National „Emil Racovita” ;8
